"V1","V2","V3","V4","V5","V6","V7","V8"
1,-0.000946,2873,0,-2.545e-05,2.908e-07,-2.531e-10,1.022e-12
1,-0.000946000000000002,2873,0,-2.54500000008083e-05,2.90799716486307e-07,-3.5342536476381e-10,1.00767737653843e-12
1,-0.000946000000000004,2873,0,-2.5450000001467e-05,2.90799485810457e-07,-4.34936369529682e-10,9.96056309632742e-13
1,-0.000946000000000006,2873,0,-2.54500000020041e-05,2.90799298060807e-07,-5.01162333357794e-10,9.86630022813855e-13
1,-0.000946000000000007,2873,0,-2.54500000024424e-05,2.90799145185006e-07,-5.54970522796177e-10,9.78986804022852e-13
1,-0.000946000000000008,2873,0,-2.54500000028005e-05,2.90799020641214e-07,-5.9869034397595e-10,9.72792172813624e-13
1,-0.000946000000000009,2873,0,-2.54500000030934e-05,2.90798919114752e-07,-6.34214237949532e-10,9.67774392747075e-13
1,-0.00094600000000001,2873,0,-2.54500000033334e-05,2.90798836287903e-07,-6.63079649428278e-10,9.63712701464185e-13
1,-0.00094600000000001,2873,0,-2.54500000035303e-05,2.90798768652895e-07,-6.86535619293784e-10,9.60427748638152e-13
1,-0.000946000000000011,2873,0,-2.54500000036922e-05,2.90798713359967e-07,-7.05596885254914e-10,9.57773827637356e-13
1,-0.000946000000000011,2873,0,-2.54500000038258e-05,2.90798668093934e-07,-7.21087833953427e-10,9.55632564423261e-13
1,-0.000946000000000011,2873,0,-2.54500000039363e-05,2.90798630973908e-07,-7.33678208249152e-10,9.53907790325705e-13
1,-0.000946000000000012,2873,0,-2.5450000004028e-05,2.90798600471832e-07,-7.4391211630151e-10,9.52521376616175e-13
1,-0.000946000000000012,2873,0,-2.54500000041045e-05,2.90798575346291e-07,-7.52231598939765e-10,9.51409850458795e-13
1,-0.000946000000000012,2873,0,-2.54500000041687e-05,2.90798554588741e-07,-7.5899577611342e-10,9.50521645663127e-13
1,-0.000946000000000012,2873,0,-2.54500000042227e-05,2.90798537379829e-07,-7.64496401727541e-10,9.49814869158556e-13
1,-0.000946000000000012,2873,0,-2.54500000042687e-05,2.90798523053902e-07,-7.6897050060138e-10,9.49255486447866e-13
1,-0.000946000000000013,2873,0,-2.5450000004308e-05,2.90798511070172e-07,-7.7261063490452e-10,9.4881584744518e-13
1,-0.000946000000000013,2873,0,-2.54500000043419e-05,2.90798500989298e-07,-7.75573244748476e-10,9.48473488846755e-13
1,-0.000946000000000013,2873,0,-2.54500000043714e-05,2.90798492454353e-07,-7.77985424196138e-10,9.48210161160825e-13
1,-0.000946000000000013,2873,0,-2.54500000043974e-05,2.90798485175363e-07,-7.79950426183511e-10,9.48011038253472e-13
1,-0.000946000000000013,2873,0,-2.54500000044204e-05,2.90798478916752e-07,-7.81552134792603e-10,9.47864075173007e-13
1,-0.000946000000000013,2873,0,-2.54500000044412e-05,2.90798473487131e-07,-7.82858698586421e-10,9.47759486437804e-13
1,-0.000946000000000013,2873,0,-2.545000000446e-05,2.90798468731017e-07,-7.83925482379466e-10,9.47689322190286e-13
1,-0.000946000000000013,2873,0,-2.54500000044772e-05,2.90798464522092e-07,-7.84797465296021e-10,9.47647123858679e-13
1,-0.000946000000000013,2873,0,-2.54500000044933e-05,2.90798460757732e-07,-7.85511188985143e-10,9.47627644411974e-13
1,-0.000946000000000014,2873,0,-2.54500000045082e-05,2.90798457354566e-07,-7.86096340376874e-10,9.47626621091268e-13
1,-0.000946000000000014,2873,0,-2.54500000045224e-05,2.90798454244861e-07,-7.86577037534798e-10,9.47640590773629e-13
1,-0.000946000000000014,2873,0,-2.54500000045359e-05,2.9079845137359e-07,-7.86972874300059e-10,9.47666739971208e-13
1,-0.000946000000000014,2873,0,-2.54500000045488e-05,2.9079844869605e-07,-7.87299768974284e-10,9.47702782968485e-13
1,-0.000946000000000014,2873,0,-2.54500000045613e-05,2.9079844617592e-07,-7.87570653801079e-10,9.47746862819318e-13
1,-0.000946000000000014,2873,0,-2.54500000045734e-05,2.90798443783697e-07,-7.87796035110115e-10,9.4779747091561e-13
1,-0.000946000000000014,2873,0,-2.54500000045852e-05,2.90798441495408e-07,-7.8798444838577e-10,9.47853381643802e-13
1,-0.000946000000000014,2873,0,-2.54500000045968e-05,2.9079843929158e-07,-7.8814282797104e-10,9.47913599298928e-13
1,-0.000946000000000014,2873,0,-2.54500000046082e-05,2.90798437156391e-07,-7.88276807420006e-10,9.47977314956872e-13
1,-0.000946000000000014,2873,0,-2.54500000046195e-05,2.90798435076989e-07,-7.88390963508238e-10,9.48043871436806e-13
1,-0.000946000000000014,2873,0,-2.54500000046306e-05,2.9079843304293e-07,-7.88489014470144e-10,9.48112734836205e-13
1,-0.000946000000000014,2873,0,-2.54500000046416e-05,2.90798431045732e-07,-7.88573981049683e-10,9.48183471405501e-13
1,-0.000946000000000014,2873,0,-2.54500000046525e-05,2.90798429078503e-07,-7.88648317340133e-10,9.48255728760748e-13
1,-0.000946000000000014,2873,0,-2.54500000046633e-05,2.90798427135643e-07,-7.88714017080098e-10,9.48329220620527e-13
1,-0.000946000000000014,2873,0,-2.54500000046741e-05,2.90798425212603e-07,-7.88772700009814e-10,9.48403714406009e-13
1,-0.000946000000000014,2873,0,-2.54500000046849e-05,2.90798423305689e-07,-7.88825682028184e-10,9.48479021167076e-13
1,-0.000946000000000014,2873,0,-2.54500000046956e-05,2.90798421411897e-07,-7.88874032189303e-10,9.48554987398163e-13
